e-SUS - Atenção Primária
MINISTÉRIO DA SAÚDE
ESTADO DE PERNAMBUCO
MUNICÍPIO DE RECIFE
UNIDADE DE SAÚDE US 106 CS PROF JOAQUIM CAVALCANTE

Relatório de cadastro individual - Analítico

FILTROS
Data;28/01/2025
Equipe;0000152404 - BERARDO
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;28/01/2025; às ;00:38;
Gerado em ;28/01/2025; às ;13:33; por ;Bruno Henrique da Gama Santos

O resultado pode contemplar informações de equipes vinculadas.

Dados gerais
Descrição;Quantidade;
Cidadãos ativos;1819;
Saída de cidadãos do cadastro;333;

Identificação do usuário / cidadão - Faixa etária
Descrição;Masculino;Feminino;Indeterminado;Não informado;
Menos de 01 ano;19;18;0;0;
01 ano;10;18;0;0;
02 anos;16;7;0;0;
03 anos;15;15;0;0;
04 anos;12;10;0;0;
05 a 09 anos;66;54;0;0;
10 a 14 anos;61;48;0;0;
15 a 19 anos;48;70;0;0;
20 a 24 anos;46;67;0;0;
25 a 29 anos;59;72;0;0;
30 a 34 anos;49;73;0;0;
35 a 39 anos;58;79;0;1;
40 a 44 anos;51;61;0;0;
45 a 49 anos;57;79;0;0;
50 a 54 anos;25;81;0;0;
55 a 59 anos;50;73;0;0;
60 a 64 anos;48;67;0;0;
65 a 69 anos;25;61;0;0;
70 a 74 anos;15;46;0;0;
75 a 79 anos;8;29;0;0;
80 anos ou mais;15;37;0;0;
Não informado;0;0;0;0;

Identificação do usuário / cidadão
Descrição;Sim;Não;Não informado;
Desconhece nome da mãe;12;1807;;
Desconhece nome do pai;362;1457;;
Responsável familiar;753;1066;0;

Identificação do usuário / cidadão - Sexo
Descrição;Quantidade;
Masculino;753;
Feminino;1065;
Indeterminado;0;
Não informado;1;

Identificação do usuário / cidadão - Raça / Cor
Descrição;Quantidade;
Branca;232;
Preta;239;
Amarela;12;
Parda;1336;
Indígena;0;
Não informado;0;

Identificação do usuário / cidadão - Etnia
Descrição;Quantidade;
Não informado;1819;

Identificação do usuário / cidadão - Nacionalidade
Descrição;Quantidade;
Brasileira;1819;
Naturalizado;0;
Estrangeiro;0;
Não informado;0;

Informações sociodemográficas - Relação de parentesco com o responsável familiar
Descrição;Quantidade;
Cônjuge / Companheiro(a);187;
Filho(a);368;
Enteado(a);14;
Neto(a) / Bisneto(a);63;
Pai / Mãe;28;
Sogro(a);4;
Irmão / Irmã;16;
Genro / Nora;15;
Outro parente;20;
Não parente;17;
Não informado;1087;

Informações sociodemográficas - Ocupação
Descrição;Quantidade;
ACABADOR DE CALÇADOS;1;
AÇOUGUEIRO;2;
ADMINISTRADOR;9;
ADVOGADO;1;
AGENTE COMUNITÁRIO DE SAÚDE;2;
AGENTE DE COMBATE ÀS ENDEMIAS;1;
AGENTE DE PORTARIA;2;
AGENTE DE TRÂNSITO;1;
ALFAIATE;1;
ALMOXARIFE;3;
ANALISTA DE RECURSOS HUMANOS;1;
ARQUIVISTA DE DOCUMENTOS;1;
